"","R","SPT","SEX","AGE","MARITAL","RACE1","RACE2","RACE3","EDU1","EDU2","EDU3","EDU4","INCOME","EXPEND","NWORTH"
"128",1,1,2,-0.883584997564539,1,1,0,0,0,1,0,0,1.33762918913861,-1.64930551877767,-9.21034037197618
"129",1,1,1,1.11641500243546,1,0,0,1,0,0,1,0,1.4655675420144,-1.8600918660193,-9.21034037197618
"130",1,1,2,-0.78358499756454,3,1,0,0,1,0,0,0,-0.433864582629862,-1.96897408865386,-9.21034037197618
"131",1,0,1,-1.18358499756454,1,1,0,0,1,0,0,0,0.462664261858972,-0.911361226873072,-9.21034037197618
"132",1,0,1,-1.68358499756454,1,1,0,0,0,1,0,0,0.220580268911045,-0.395564283430902,-9.21034037197618
"133",1,1,1,-0.483584997564539,1,1,0,0,0,1,0,0,1.63516413700498,0.440262591650338,-9.21034037197618
"134",1,0,1,0.616415002435461,1,1,0,0,0,0,1,0,2.66130793855008,-0.625540739056367,-9.21034037197618
"135",1,1,1,-2.28358499756454,1,1,0,0,1,0,0,0,1.01884732019925,-2.04787830306184,-9.21034037197618
"136",1,1,1,-2.08358499756454,1,1,0,0,0,0,1,0,1.30171638464459,-0.415616464215555,-9.21034037197618
"137",1,0,2,-0.28358499756454,3,0,1,0,0,0,1,0,0.53062825106217,-1.888876257968,-9.21034037197618
"141",1,0,1,-1.28358499756454,1,1,0,0,0,1,0,0,1.42863520160942,-0.0929379956592691,-9.21034037197618
"142",1,0,1,-1.18358499756454,1,1,0,0,0,0,1,0,2.14018380363522,0.532567545884394,-9.21034037197618
"143",1,0,1,-1.78358499756454,1,1,0,0,0,0,0,1,2.14006616349627,-0.134331712795292,-9.21034037197618
"144",1,1,1,-0.983584997564539,1,1,0,0,0,1,0,0,0.470003629245736,-1.35363357888034,-9.21034037197618
"146",1,1,1,-0.28358499756454,1,1,0,0,0,1,0,0,1.45395300959371,0.0661154022068601,-9.21034037197618
"147",1,1,1,0.016415002435461,1,1,0,0,1,0,0,0,1.33762918913861,-0.74950591422933,-9.21034037197618
"148",1,0,1,-1.48358499756454,1,1,0,0,0,1,0,0,1.47228855428675,-1.50170521263122,-9.21034037197618
"149",1,1,1,-0.28358499756454,1,1,0,0,1,0,0,0,2.24070968927596,-1.63121497063677,-9.21034037197618
"151",1,1,2,-0.28358499756454,1,0,1,0,0,1,0,0,0.765467842139571,-1.75326018932209,-9.21034037197618
"153",1,0,1,-0.0835849975645395,1,1,0,0,0,1,0,0,0.693147180559945,-1.65382526571562,-9.21034037197618
"154",1,1,1,-0.683584997564539,1,1,0,0,0,0,1,0,1.90210752639692,-1.30005549243798,-9.21034037197618
"157",1,0,1,-1.18358499756454,5,1,0,0,0,1,0,0,1.9467669247753,-0.933458076081041,-9.21034037197618
"158",1,1,2,-1.48358499756454,5,1,0,0,0,1,0,0,0.8754687373539,-0.547230305659791,-9.21034037197618
"159",1,1,1,-1.68358499756454,5,1,0,0,0,0,0,1,1.87180217690159,-0.3745843644823,-9.21034037197618
"161",1,0,2,0.21641500243546,1,1,0,0,0,1,0,0,-0.143408583295356,-0.523742015699218,-9.21034037197618
"162",1,0,1,0.21641500243546,1,1,0,0,0,0,1,0,2.53350631962406,1.52133503015106,-9.21034037197618
"163",1,0,1,-0.383584997564539,1,1,0,0,1,0,0,0,1.5810384379124,-1.02345843506769,-9.21034037197618
"164",1,0,2,-1.28358499756454,1,1,0,0,0,0,0,1,2.18154676461699,-0.616525697066989,-9.21034037197618
"168",1,0,2,-0.983584997564539,1,0,1,0,0,0,0,1,0.936093359170335,-1.01806969672677,-9.21034037197618
"169",1,0,1,-1.18358499756454,1,1,0,0,0,0,0,1,1.96758776815551,0.894978564435339,-9.21034037197618
"170",1,1,1,-0.883584997564539,3,1,0,0,1,0,0,0,0.503438405331973,-2.56308438759943,-9.21034037197618
"171",1,1,1,0.41641500243546,1,1,0,0,0,0,0,1,2.70805020110221,-0.859844946893846,-9.21034037197618
"172",1,1,2,0.516415002435461,1,0,1,0,0,1,0,0,1.70183476170007,0.351114513358083,-9.21034037197618
"173",1,0,2,-0.28358499756454,1,1,0,0,0,0,1,0,1.78632807923085,-1.01548971327535,-9.21034037197618
"174",1,0,1,-1.08358499756454,5,1,0,0,0,1,0,0,0.336472236621213,-2.18724949431414,-9.21034037197618
"177",1,0,1,-2.38358499756454,1,1,0,0,0,0,1,0,1.56861591791385,-0.210227326047663,-9.21034037197618
"178",1,0,1,-1.28358499756454,1,1,0,0,0,1,0,0,0.905634151685626,-1.61601786290556,-9.21034037197618
"179",1,0,2,-0.383584997564539,3,1,0,0,0,0,1,0,1.86655767930324,-0.0518987407911354,-9.21034037197618
"180",1,0,1,-0.28358499756454,4,0,1,0,0,0,0,1,1.64865862558738,-0.991463382134985,-9.21034037197618
"181",1,0,1,-0.983584997564539,3,1,0,0,0,0,0,1,1.39995068756738,-1.53042171605844,-9.21034037197618
"182",1,0,1,0.516415002435461,1,1,0,0,0,1,0,0,1.63899671467564,-0.20797788360774,-9.21034037197618
"185",1,1,2,-1.28358499756454,3,1,0,0,0,1,0,0,0.00299550897979837,-2.52572864430826,-9.21034037197618
"186",1,0,1,-0.383584997564539,1,0,0,1,0,1,0,0,-0.356674943938732,-3.57198570264244,-9.21034037197618
"188",1,1,1,-1.68358499756454,5,1,0,0,1,0,0,0,1.23779435280145,-0.536827426304991,-9.21034037197618
"191",1,0,2,-1.48358499756454,1,1,0,0,0,1,0,0,2.05649272030143,-1.08730149752224,-9.21034037197618
"192",1,0,1,1.51641500243546,2,1,0,0,1,0,0,0,0.015085637418041,-1.01500670481331,-9.21034037197618
"194",1,0,2,-1.18358499756454,1,1,0,0,0,0,0,1,1.75785791755237,-1.21987636487192,-9.21034037197618
"195",1,1,1,1.11641500243546,1,1,0,0,0,1,0,0,1.21369538647406,-0.879798087480419,-9.21034037197618
"196",1,1,1,-1.88358499756454,1,1,0,0,0,1,0,0,1.61043741276718,-0.654503556967741,-9.21034037197618
"197",1,1,1,-1.08358499756454,5,1,0,0,0,0,0,1,0.53766227771955,-0.36030055137459,-9.21034037197618
"198",1,0,1,-1.78358499756454,1,1,0,0,0,1,0,0,0.955511445027436,0.448795952830179,-9.21034037197618
"199",1,1,1,-0.58358499756454,1,1,0,0,0,1,0,0,1.77664583141801,0.0156325721403347,-9.21034037197618
"200",1,0,1,-1.28358499756454,1,1,0,0,0,0,0,1,1.6129915906334,0.177494985951442,-9.21034037197618
"201",1,0,1,0.316415002435461,1,1,0,0,0,0,1,0,1.61938824328727,-0.457548193245706,-9.21034037197618
"203",1,1,1,-1.38358499756454,1,0,1,0,1,0,0,0,0.825227520917153,-2.03185842951418,-9.21034037197618
"204",1,0,2,0.016415002435461,1,1,0,0,0,0,0,1,2.484906649788,-0.717064267448128,-9.21034037197618
"207",1,1,2,-0.0835849975645395,1,1,0,0,0,1,0,0,0.869199124340304,-0.2823761736616,-9.21034037197618
"210",1,0,1,-0.78358499756454,5,1,0,0,1,0,0,0,0.53062825106217,-1.57785848313221,-9.21034037197618
"211",1,0,2,-1.58358499756454,1,1,0,0,0,0,1,0,0.405465108108164,-1.23277246179081,-9.21034037197618
"213",1,0,1,-1.08358499756454,1,1,0,0,0,0,1,0,0.751416088683921,-0.312077229286502,-9.21034037197618
"215",1,1,2,-0.0835849975645395,3,0,1,0,0,0,1,0,-0.17197526473981,0.0316197837554555,-9.21034037197618
"216",1,1,1,-0.183584997564539,1,1,0,0,0,0,0,1,3.65369000448809,0.66770904225933,-9.21034037197618
"218",1,0,1,-0.383584997564539,1,1,0,0,0,0,1,0,0.8754687373539,-0.264790534481536,-9.21034037197618
"222",1,0,2,0.816415002435461,3,1,0,0,1,0,0,0,0.246860077931526,-2.83531555214809,-9.21034037197618
"223",1,1,2,1.51641500243546,3,1,0,0,0,0,0,1,1.89085037187229,-0.414859098797225,-9.21034037197618
"225",1,1,2,-1.68358499756454,1,0,1,0,0,1,0,0,1.40732172831197,-1.27323356883588,-9.21034037197618
"227",1,0,1,-0.683584997564539,1,1,0,0,1,0,0,0,1.50407739677627,-0.812249844042251,-9.21034037197618
"228",1,0,1,0.016415002435461,1,1,0,0,0,0,1,0,2.08567209143047,0.471502505369471,-9.21034037197618
"229",1,0,2,-0.183584997564539,5,0,1,0,0,0,1,0,-0.289283353818755,-1.64105758681456,-9.21034037197618
"230",1,1,2,-1.08358499756454,4,0,1,0,1,0,0,0,0.916290731874155,-0.886529692802304,-9.21034037197618
